#Measurement data
#24.07.2016 08:31:49

#Time (days)	Power (W)
0.007194	3.640000
0.007205	3.640000
0.007217	3.640000
0.007229	3.640000
0.007240	3.640000
0.007252	3.640000
0.007263	3.640000
0.007275	3.640000
0.007287	3.640000
0.007298	3.640000
0.007310	3.640000
0.007321	3.640000
0.007333	3.640000
0.007344	3.640000
0.007356	3.640000
0.007367	3.640000
0.007379	3.640000
0.007391	3.640000
0.007402	3.640000
0.007414	3.570000
0.007425	3.570000
0.007437	3.640000
0.007449	3.640000
0.007460	3.640000
0.007472	3.640000
0.007484	3.640000
0.007495	3.640000
0.007507	3.640000
0.007518	3.640000
0.007530	3.640000
0.007542	3.640000
0.007553	3.640000
0.007565	3.640000
0.007577	3.570000
0.007588	3.570000
0.007600	3.570000
0.007612	3.570000
0.007623	3.570000
0.007635	3.570000
0.007647	3.570000
0.007658	3.570000
0.007670	3.570000
0.007681	3.570000
0.007693	3.570000
0.007704	3.570000
0.007716	3.570000
0.007728	3.640000
0.007739	3.640000
0.007751	3.570000
0.007762	3.570000
0.007774	3.570000
0.007786	3.570000
0.007797	3.570000
0.007809	3.570000
0.007820	3.570000
0.007832	3.570000
0.007843	3.570000
0.007855	3.570000
0.007867	3.570000
0.007878	3.570000
0.007890	3.570000
0.007901	3.570000
0.007913	3.570000
0.007925	3.640000
0.007936	3.640000
0.007947	3.640000
0.007959	3.640000
0.007971	3.640000
0.007982	3.640000
0.007994	3.640000
0.008005	3.640000
0.008017	3.640000
0.008029	3.640000
0.008040	3.570000
0.008052	3.570000
0.008063	3.570000
0.008075	3.570000
0.008087	3.570000
0.008098	3.570000
0.008110	3.570000
0.008121	3.570000
0.008133	3.640000
0.008144	3.640000
0.008156	3.640000
0.008167	3.640000
0.008179	3.640000
0.008191	3.640000
0.008202	3.640000
0.008214	3.640000
0.008226	3.640000
0.008237	3.640000
0.008248	3.640000
0.008260	3.640000
0.008272	3.640000
0.008283	3.640000
0.008295	3.640000
0.008306	3.640000
0.008318	3.640000
0.008329	3.640000
0.008341	3.640000
0.008353	3.640000
0.008364	3.640000
0.008376	3.640000
0.008388	3.640000
0.008399	3.640000
0.008410	3.640000
0.008422	3.640000
0.008433	3.640000
0.008445	623.410000
0.008457	623.410000
0.008468	623.410000
0.008480	1146.550000
0.008492	1146.550000
0.008503	1146.550000
0.008515	1141.040000
0.008526	1141.040000
0.008538	1141.040000
0.008550	1141.040000
0.008561	1139.110000
0.008573	1139.110000
0.008584	63.800000
0.008596	63.800000
0.008607	63.800000
0.008619	3.570000
0.008631	3.570000
0.008642	3.570000
0.008654	3.570000
0.008665	3.570000
0.008677	3.570000
0.008688	3.570000
0.008700	3.570000
0.008711	3.570000
0.008723	3.570000
0.008735	3.570000
0.008746	3.570000
0.008758	3.640000
0.008769	3.640000
0.008781	3.640000
0.008793	3.640000
0.008804	3.640000
0.008816	3.640000
0.008828	3.640000
0.008839	3.640000
0.008850	3.640000
0.008862	3.640000
0.008873	3.640000
0.008885	3.640000
0.008897	3.640000
0.008908	3.640000
0.008920	3.640000
0.008932	3.640000
0.008943	3.640000
0.008954	3.640000
0.008966	3.640000
0.008977	3.640000
0.008989	3.640000
0.009001	3.640000
0.009012	3.640000
0.009024	3.640000
0.009036	3.640000
0.009047	3.640000
0.009059	3.640000
0.009070	3.640000
0.009082	3.640000
0.009093	3.640000
0.009105	3.640000
0.009117	3.640000
0.009128	3.640000
0.009140	3.640000
0.009151	3.640000
0.009163	3.640000
0.009175	3.640000
0.009186	3.640000
0.009197	3.640000
0.009209	3.640000
0.009221	3.640000
0.009232	3.640000
0.009244	3.640000
0.009255	3.640000
0.009267	3.640000
0.009279	3.640000
0.009290	3.640000
0.009302	3.640000
0.009314	3.640000
0.009325	3.640000
0.009337	3.640000
0.009348	3.640000
0.009360	3.640000
0.009371	3.640000
0.009383	3.640000
0.009394	3.640000
0.009406	3.640000
0.009418	3.570000
0.009429	3.570000
0.009441	3.570000
0.009452	3.570000
0.009464	3.570000
0.009475	3.570000
0.009487	3.570000
0.009499	3.570000
0.009510	3.570000
0.009522	3.570000
0.009533	3.570000
0.009545	3.570000
0.009556	3.570000
0.009568	3.570000
0.009580	3.570000
0.009591	3.570000
0.009603	3.570000
0.009614	3.570000
0.009626	3.570000
0.009637	3.570000
0.009649	3.570000
0.009661	3.570000
0.009672	3.570000
0.009684	3.570000
0.009695	3.570000
0.009707	3.640000
0.009719	3.640000
0.009730	3.570000
0.009742	3.570000
0.009753	3.570000
0.009765	3.640000
0.009776	3.640000
0.009788	3.640000
0.009799	3.640000
0.009811	3.640000
0.009823	3.640000
0.009834	3.570000
0.009846	3.570000
0.009858	3.570000
0.009869	3.570000
0.009880	3.640000
0.009892	3.640000
0.009904	3.640000
0.009915	3.640000
0.009927	3.640000
0.009938	3.570000
0.009950	3.570000
0.009962	3.570000
0.009973	3.570000
0.009985	3.570000
0.009996	3.570000
0.010008	3.570000
0.010020	3.570000
0.010031	3.570000
0.010043	3.640000
0.010054	3.640000
0.010066	3.640000
0.010077	3.570000
0.010089	3.570000
0.010100	3.570000
0.010112	3.570000
0.010124	3.570000
0.010135	3.570000
0.010147	3.570000
0.010158	3.570000
0.010170	3.570000
0.010181	3.570000
0.010193	3.640000
0.010205	3.640000
0.010216	3.640000
0.010228	3.640000
0.010239	3.640000
0.010251	3.640000
0.010262	3.640000
0.010274	3.640000
0.010285	3.640000
0.010297	3.640000
0.010309	3.640000
0.010320	3.570000
0.010332	3.570000
0.010343	3.570000
0.010355	3.570000
0.010367	3.640000
0.010378	3.640000
